time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,-0.000000,-0.000011,-0.000002,-0.002063
0.010000,-0.000000,-0.000010,-0.000024,-0.001281
0.015000,-0.000000,-0.000020,-0.000081,-0.000486
0.020000,-0.000001,-0.000083,-0.000186,-0.010524
0.025000,-0.000002,-0.000143,-0.000333,-0.009462
0.030000,-0.000005,-0.000184,-0.000495,-0.008993
0.035000,-0.000007,-0.000235,-0.000643,-0.007862
0.040000,-0.000011,-0.000246,-0.000749,-0.006090
0.045000,-0.000015,-0.000279,-0.000791,-0.005921
0.050000,-0.000019,-0.000283,-0.000753,-0.002116
0.055000,-0.000022,-0.000300,-0.000630,-0.004865
0.060000,-0.000025,-0.000519,-0.000425,-0.013553
0.065000,-0.000026,-0.000595,-0.000152,-0.015105
0.070000,-0.000026,-0.000568,0.000187,-0.010851
0.075000,-0.000024,-0.000625,0.000603,-0.007988
0.080000,-0.000019,-0.000316,0.001100,0.005701
0.085000,-0.000012,-0.000280,0.001669,0.006184
0.090000,-0.000002,0.000063,0.002279,0.016799
0.095000,0.000011,0.000163,0.002881,0.015522
0.100000,0.000027,0.000346,0.003434,0.019390
0.105000,0.000046,0.003273,0.003913,0.112304
0.110000,0.000067,0.003766,0.004277,0.108569
0.115000,0.000089,0.004410,0.004429,0.107301
0.120000,0.000110,0.004838,0.004258,0.105977
0.125000,0.000130,0.005479,0.003658,0.107877
0.130000,0.000145,0.005919,0.002558,0.108553
0.135000,0.000153,0.006572,0.000933,0.108266
0.140000,0.000152,0.007004,-0.001232,0.105460
0.145000,0.000138,0.007630,-0.003930,0.101303
0.150000,0.000109,0.007946,-0.007082,0.094721
0.155000,0.000063,0.008502,-0.010680,0.087318
0.160000,-0.000002,0.008547,-0.014678,0.072953
0.165000,-0.000089,0.008978,-0.018967,0.067864
0.170000,-0.000197,0.009248,-0.023486,0.060140
0.175000,-0.000328,0.009593,-0.028169,0.053219
0.180000,-0.000484,0.009904,-0.033008,0.052606
0.185000,-0.000663,0.010218,-0.037890,0.049601
0.190000,-0.000867,0.010655,-0.042703,0.048811
0.195000,-0.001095,0.010936,-0.047548,0.043673
0.200000,-0.001348,0.011202,-0.052407,0.042862
0.205000,-0.001624,0.000667,-0.057060,-0.000093
0.210000,-0.001922,0.000650,-0.061445,-0.006154
0.215000,-0.002242,0.000604,-0.065573,-0.009167
0.220000,-0.002582,0.000551,-0.069487,-0.010770
0.225000,-0.002940,0.000474,-0.073119,-0.015837
0.230000,-0.003316,0.000406,-0.076471,-0.022628
0.235000,-0.003708,0.000271,-0.079575,-0.023363
0.240000,-0.004114,0.000193,-0.082379,-0.024063
0.245000,-0.004534,0.000051,-0.084944,-0.024309
0.250000,-0.004966,-0.000208,-0.087288,-0.037496
0.255000,-0.005408,-0.000443,-0.089404,-0.040908
0.260000,-0.005861,-0.000835,-0.091302,-0.053114
0.265000,-0.006323,-0.001162,-0.092940,-0.058044
0.270000,-0.006792,-0.001294,-0.094305,-0.054230
0.275000,-0.007267,-0.001628,-0.095402,-0.058545
0.280000,-0.007746,-0.001811,-0.096220,-0.060452
0.285000,-0.008229,-0.002182,-0.096772,-0.063841
0.290000,-0.008714,-0.002419,-0.097062,-0.066589
0.295000,-0.009199,-0.002822,-0.097098,-0.066905
0.300000,-0.009684,-0.003172,-0.096879,-0.068165
0.305000,-0.010167,-0.013208,-0.096392,-0.085183
0.310000,-0.010647,-0.013735,-0.095615,-0.080490
0.314999,-0.011122,-0.014210,-0.094533,-0.080453
0.319999,-0.011591,-0.014613,-0.093130,-0.076229
0.324999,-0.012051,-0.015070,-0.091415,-0.073024
0.329999,-0.012502,-0.015308,-0.089398,-0.079123
0.334999,-0.012943,-0.015773,-0.087080,-0.075067
0.339999,-0.013370,-0.016109,-0.084481,-0.090587
0.344999,-0.013784,-0.016649,-0.081598,-0.089475
0.349999,-0.014183,-0.017042,-0.078442,-0.092594
0.354999,-0.014565,-0.017591,-0.075071,-0.089353
0.359999,-0.014929,-0.017963,-0.071405,-0.088738
0.364999,-0.015275,-0.018493,-0.067483,-0.089978
0.369999,-0.015600,-0.018650,-0.063259,-0.081893
0.374999,-0.015903,-0.019134,-0.058706,-0.076727
0.379999,-0.016181,-0.019397,-0.053793,-0.072266
0.384999,-0.016435,-0.019823,-0.048558,-0.067338
0.389999,-0.016661,-0.020110,-0.043014,-0.066095
0.394998,-0.016859,-0.020499,-0.037268,-0.061631
0.399998,-0.017028,-0.020385,-0.031469,-0.045999
0.404998,-0.017167,-0.013111,-0.025513,0.014772
0.409998,-0.017277,-0.013117,-0.019484,0.021040
0.414998,-0.017356,-0.012981,-0.013535,0.026205
0.419998,-0.017407,-0.012965,-0.007682,0.034527
0.424998,-0.017428,-0.012746,-0.001966,0.041568
0.429998,-0.017421,-0.012550,0.003466,0.041989
0.434998,-0.017388,-0.012297,0.008588,0.043327
0.439998,-0.017331,-0.012116,0.013339,0.040531
0.444998,-0.017251,-0.011859,0.017667,0.046397
0.449998,-0.017151,-0.011804,0.021588,0.033042
0.454998,-0.017032,-0.011593,0.025062,0.040366
0.459998,-0.016898,-0.011403,0.028077,0.046046
0.464998,-0.016749,-0.011119,0.030664,0.050829
0.469997,-0.016589,-0.010469,0.032874,0.072643
0.474997,-0.016419,-0.010037,0.034723,0.074618
0.479997,-0.016241,-0.009451,0.036207,0.087877
0.484997,-0.016056,-0.008930,0.037362,0.087381
0.489997,-0.015867,-0.008765,0.038186,0.083692
0.494997,-0.015675,-0.008274,0.038660,0.080416
0.499997,-0.015481,-0.007823,0.038785,0.080948
0.504997,-0.015287,-0.004803,0.038570,0.105482
0.509997,-0.015096,-0.004462,0.038017,0.105599
0.514997,-0.014908,-0.003830,0.037114,0.104315
0.519997,-0.014727,-0.003427,0.035843,0.103189
0.524997,-0.014552,-0.002813,0.034238,0.098928
0.529997,-0.014386,-0.002411,0.032311,0.096613
0.534997,-0.014231,-0.001838,0.030088,0.092267
0.539997,-0.014089,-0.001466,0.027540,0.088410
0.544997,-0.013959,-0.000948,0.024672,0.081580
0.549996,-0.013845,-0.000600,0.021486,0.082790
0.554996,-0.013748,-0.000123,0.018022,0.074168
0.559996,-0.013669,0.000261,0.014315,0.075693
0.564996,-0.013609,0.000708,0.010419,0.070189
0.569996,-0.013569,0.000774,0.006422,0.056339
0.574996,-0.013549,0.001097,0.002304,0.048052
0.579996,-0.013551,0.001276,-0.001979,0.043714
0.584996,-0.013573,0.001531,-0.006343,0.040572
0.589996,-0.013619,0.001508,-0.010790,0.032022
0.594996,-0.013686,0.001685,-0.015254,0.023999
0.599996,-0.013775,0.001589,-0.019631,0.013376
0.604996,-0.013886,0.015999,-0.023963,0.003346
0.609996,-0.014019,0.016058,-0.028180,-0.002209
0.614996,-0.014172,0.016032,-0.032350,-0.009444
0.619996,-0.014346,0.015960,-0.036402,-0.011495
0.624996,-0.014540,0.015876,-0.040320,-0.018775
0.629995,-0.014753,0.015840,-0.044044,-0.025810
0.634995,-0.014984,0.015678,-0.047639,-0.029447
0.639995,-0.015233,0.015562,-0.051151,-0.040079
0.644995,-0.015499,0.015307,-0.054570,-0.045397
0.649995,-0.015782,0.015165,-0.057897,-0.043452
0.654995,-0.016081,0.014903,-0.061174,-0.045968
0.659995,-0.016397,0.014736,-0.064338,-0.046438
0.664995,-0.016727,0.014444,-0.067382,-0.051572
0.669995,-0.017073,0.014164,-0.070363,-0.058540
0.674995,-0.017434,0.013801,-0.073194,-0.065145
0.679995,-0.017808,0.013221,-0.075813,-0.079959
0.684995,-0.018194,0.012732,-0.078191,-0.085223
0.689995,-0.018591,0.012761,-0.080328,-0.073405
0.694995,-0.018999,0.012313,-0.082222,-0.075577
0.699995,-0.019415,0.011562,-0.083852,-0.092470
0.704994,-0.019839,0.011788,-0.085307,-0.101815
0.709994,-0.020269,0.011075,-0.086607,-0.095904
